familia,n_sementes,n_eventos_total,taxa_deteccao_t1_ponderada,media_das_taxas_por_semente,desvio_padrao_entre_sementes,ic95_inferior,ic95_superior
A,10,76,0.5789473684210527,0.5755222555222556,0.21579043406092008,0.44700313575313577,0.7078826728826727
B,10,99,0.7474747474747475,0.7553030303030303,0.13265421760408355,0.6775744949494948,0.831010101010101
C,10,80,0.8375,0.8368797868797868,0.20690563310779922,0.7038386613386612,0.940909090909091
D,10,88,0.011363636363636364,0.00909090909090909,0.028747978728803445,0.0,0.02727272727272727
E,10,84,0.047619047619047616,0.04365079365079365,0.07876759222729844,0.0,0.09523809523809523
F,10,98,0.5102040816326531,0.48958513708513707,0.22323157574870664,0.34825396825396826,0.6094449855699856
G,10,71,1.0,1.0,0.0,1.0,1.0
