held_out_buoy,train_buoys,n_test,n_weak,binary_f1_all,tau_b,macro_f1,f1_good,f1_suspect,f1_bad,binary_f1,binary_precision,binary_recall,auprc_bad,auroc_bad,pooled_binary_f1,delta_binary_f1
BA-1,"ES-1,PR-1,RJ-1,RJ-2,RJ-4",1542,42.0,0.9114583333333334,0.55,0.8984199311323345,0.9931383170819791,0.7741935483870968,0.9279279279279279,0.9396825396825397,0.9308176100628931,0.9487179487179487,0.9346620105375978,0.9661325121481207,0.6892655367231638,0.25041700295937586
ES-1,"BA-1,PR-1,RJ-1,RJ-2,RJ-4",256,179.0,0.7477064220183486,0.5,0.6806503366279903,0.9050279329608939,0.5769230769230769,0.56,0.7792207792207793,0.9836065573770492,0.6451612903225806,0.6248979576970228,0.8949115044247788,0.9203539823008848,-0.14113320308010557
PR-1,"BA-1,ES-1,RJ-1,RJ-2,RJ-4",635,949.0,0.48930817610062893,0.7000000000000001,0.7543653735277159,0.8990610328638498,0.6973684210526315,0.6666666666666666,0.7942583732057417,0.9940119760479041,0.6613545816733067,0.6584898363894711,0.9255330634278002,0.7554179566563467,0.03884041654939496
RJ-1,"BA-1,ES-1,PR-1,RJ-2,RJ-4",1254,330.0,0.9329896907216495,0.8,0.8029980609687012,0.9742033383915023,0.7828571428571428,0.6519337016574586,0.903954802259887,0.9090909090909091,0.898876404494382,0.7514812184663905,0.9507502057921127,0.9133333333333332,-0.009378531073446217
RJ-2,"BA-1,ES-1,PR-1,RJ-1,RJ-4",1540,44.0,0.8374164810690423,0.8500000000000001,0.7629209261146629,0.9767441860465116,0.48333333333333334,0.8286852589641435,0.8301886792452831,0.88,0.7857142857142857,0.9678500950553053,0.9868975587363444,0.9445676274944568,-0.11437894824917372
RJ-4,"BA-1,ES-1,PR-1,RJ-1,RJ-2",1182,402.0,0.8747940691927513,0.7000000000000001,0.8049815011300857,0.9693383539537386,0.6710963455149501,0.7745098039215687,0.8871287128712871,0.8549618320610687,0.9218106995884774,0.867214843601573,0.9720842816745983,0.836272040302267,0.050856672569020156
Média LOBO,-,6409,,,0.6833333333333332,0.7840560215835818,0.9529188602164126,0.6642953113447052,0.7349538931896276,0.8557389810809196,0.9254148141066373,0.8102725350851635,0.80076599362456,0.9493848543672924,0.8432017461350755,0.012537234945844244
