Test,Firing_Count,Firing_Pct,Hsig_Count,Hsig_Pct
Spike (Classic),5811,0.4574661210557225,472,0.4087358631081245
Median/MAD,44580,3.5095232622034263,965,0.835657008261314
Second Diff.,5820,0.45817463853799784,472,0.4087358631081245
QARTOD,25941,2.042183556411375,236,0.20436793155406224
Rate of Change,12454,0.9804307471395576,1,0.0008659658116697553
Local Std.,5420,0.4266849726590976,93,0.08053482048528723
Physical Range,2,0.00015744832939450096,0,0.0
