model_seed,anomaly_seed,method,alpha,precision,recall,f1,detected,true_anomalies
42,45,VAE-LSTM,0.025,0.02677376171352075,1.0,0.05215123859191656,747,20
42,45,VAE-LSTM,0.05,0.02306805074971165,1.0,0.04509582863585118,867,20
42,45,VAE-LSTM,0.1,0.019249278152069296,1.0,0.03777148253068933,1039,20
42,46,Robusto mediana/MAD (Student-t),0.001,1.0,0.9,0.9473684210526315,18,20
42,46,Robusto mediana/MAD (Student-t),0.005,0.95,0.95,0.95,20,20
42,46,Robusto mediana/MAD (Student-t),0.01,0.8,1.0,0.8888888888888888,25,20
42,46,Robusto mediana/MAD (Student-t),0.025,0.4444444444444444,1.0,0.6153846153846154,45,20
42,46,Robusto mediana/MAD (Student-t),0.05,0.18867924528301888,1.0,0.31746031746031744,106,20
42,46,Robusto mediana/MAD (Student-t),0.1,0.08695652173913043,1.0,0.16,230,20
42,46,GPD-POT (cauda),0.001,0.9090909090909091,1.0,0.9523809523809523,22,20
42,46,GPD-POT (cauda),0.005,0.5555555555555556,1.0,0.7142857142857143,36,20
42,46,GPD-POT (cauda),0.01,0.4166666666666667,1.0,0.5882352941176471,48,20
42,46,GPD-POT (cauda),0.025,0.21739130434782608,1.0,0.35714285714285715,92,20
42,46,GPD-POT (cauda),0.05,0.13333333333333333,1.0,0.23529411764705882,150,20
42,46,GPD-POT (cauda),0.1,0.07220216606498195,1.0,0.13468013468013468,277,20
42,46,VAE-LSTM,0.001,0.051351351351351354,0.95,0.09743589743589744,370,20
42,46,VAE-LSTM,0.005,0.034358047016274866,0.95,0.06631762652705062,553,20
42,46,VAE-LSTM,0.01,0.030816640986132512,1.0,0.059790732436472344,649,20
42,46,VAE-LSTM,0.025,0.02481389578163772,1.0,0.048426150121065374,806,20
42,46,VAE-LSTM,0.05,0.02127659574468085,1.0,0.041666666666666664,940,20
42,46,VAE-LSTM,0.1,0.018034265103697024,1.0,0.0354295837023915,1109,20
7,42,Robusto mediana/MAD (Student-t),0.001,1.0,0.9,0.9473684210526315,18,20
7,42,Robusto mediana/MAD (Student-t),0.005,0.95,0.95,0.95,20,20
7,42,Robusto mediana/MAD (Student-t),0.01,0.8333333333333334,1.0,0.9090909090909091,24,20
