boia,n,n_weak,tau_b,binary_f1_all,macro_f1,f1_good,f1_suspect,f1_bad,binary_f1,binary_precision,binary_recall,auprc_bad,auroc_bad
TODAS (rótulos fortes),6456,1899,0.7000000000000001,0.7461206896551724,0.7418962755155105,0.9767733835530445,0.6344576116681859,0.6144578313253012,0.8529244747302669,0.8898104265402843,0.8189749182115594,0.6474219694403892,0.9431079621391042
BA-1,1555,29,0.7000000000000001,0.7168141592920354,0.6967830187291312,0.9812478690760313,0.5517241379310345,0.5573770491803278,0.6892655367231638,0.7625,0.6288659793814433,0.594278022516586,0.9465977443609022
ES-1,251,184,0.7000000000000001,0.8192771084337349,0.7513066767565482,0.9768637532133676,0.8484848484848485,0.42857142857142855,0.9203539823008849,0.9122807017543859,0.9285714285714286,0.5599318859088973,0.9215447154471545
PR-1,584,1000,0.7000000000000001,0.5126934984520124,0.539809563111458,0.906508875739645,0.3979591836734694,0.31496062992125984,0.7554179566563467,0.991869918699187,0.61,0.44288579928304894,0.8270400998595725
RJ-1,1293,291,0.7000000000000001,0.9342723004694836,0.8795421405657627,0.9886264216972879,0.85,0.8,0.9133333333333333,0.9256756756756757,0.9013157894736842,0.8411377384076878,0.9597691335678428
RJ-2,1537,47,0.7000000000000001,0.9345794392523364,0.7026029765282984,0.9904689287075867,0.3790849673202614,0.738255033557047,0.9445676274944568,0.9551569506726457,0.9342105263157895,0.9381493355847793,0.982483660130719
RJ-4,1236,348,0.7000000000000001,0.8385155466399198,0.7109671418406358,0.9686746987951808,0.7267267267267268,0.4375,0.836272040302267,0.7793427230046949,0.9021739130434783,0.5442836838365672,0.8928036543357795
