idx,sign,k,p_bad
700,-1,1.0,0.83895546
700,1,2.0,0.8890307
700,-1,2.0,0.9750529
700,1,3.0,0.9529447
700,-1,3.0,0.9750529
700,1,4.0,0.9783292
700,-1,4.0,0.9750529
700,1,6.0,0.9950493
700,-1,6.0,0.9750529
1130,1,0.5,0.017452715
1130,-1,0.5,0.10353012
1130,1,1.0,0.17487475
1130,-1,1.0,0.44232863
1130,1,2.0,0.68493766
1130,-1,2.0,0.95680684
1130,1,3.0,0.8772061
1130,-1,3.0,0.95680684
1130,1,4.0,0.9423414
1130,-1,4.0,0.95680684
1130,1,6.0,0.9869343
1130,-1,6.0,0.95680684
678,1,0.5,0.012171028
678,-1,0.5,0.022014571
678,1,1.0,0.11941113
678,-1,1.0,0.059770584
678,1,2.0,0.6462087
678,-1,2.0,0.6960956
678,1,3.0,0.8830085
678,-1,3.0,0.9053079
678,1,4.0,0.9409888
678,-1,4.0,0.9053079
678,1,6.0,0.9863144
678,-1,6.0,0.9053079
1199,1,0.5,0.10345493
1199,-1,0.5,0.15132315
1199,1,1.0,0.5598161
1199,-1,1.0,0.70062697
1199,1,2.0,0.8858367
1199,-1,2.0,0.9786774
1199,1,3.0,0.95357054
1199,-1,3.0,0.9786774
1199,1,4.0,0.977747
1199,-1,4.0,0.9786774
1199,1,6.0,0.99491984
1199,-1,6.0,0.9786774
1697,1,0.5,0.5624166
1697,-1,0.5,0.073077835
1697,1,1.0,0.75621283
1697,-1,1.0,0.0077043697
1697,1,2.0,0.9083882
1697,-1,2.0,0.038751606
1697,1,3.0,0.96133465
1697,-1,3.0,0.61147904
1697,1,4.0,0.98290515
1697,-1,4.0,0.61147904
1697,1,6.0,0.9958169
1697,-1,6.0,0.61147904
756,1,0.5,0.063130595
756,-1,0.5,0.12786426
756,1,1.0,0.32978094
756,-1,1.0,0.54741764
756,1,2.0,0.8297464
756,-1,2.0,0.9864755
756,1,3.0,0.92023164
756,-1,3.0,0.9864755
756,1,4.0,0.96345663
756,-1,4.0,0.9864755
756,1,6.0,0.99204916
756,-1,6.0,0.9864755
1590,1,0.5,0.0054032323
1590,-1,0.5,0.055111732
1590,1,1.0,0.05943338
1590,-1,1.0,0.31903186
1590,1,2.0,0.5451739
1590,-1,2.0,0.9781138
1590,1,3.0,0.825541
1590,-1,3.0,0.9781138
1590,1,4.0,0.9187665
1590,-1,4.0,0.9781138
1590,1,6.0,0.98188674
1590,-1,6.0,0.9781138
61,1,0.5,0.22509576
61,-1,0.5,0.050586108
61,1,1.0,0.551667
61,-1,1.0,0.2530259
61,1,2.0,0.89061064
61,-1,2.0,0.40783584
61,1,3.0,0.96885365
61,-1,3.0,0.40783584
61,1,4.0,0.9872946
61,-1,4.0,0.40783584
61,1,6.0,0.99710363
61,-1,6.0,0.40783584
137,1,0.5,0.8396751
137,-1,0.5,0.47662896
137,1,1.0,0.95921975
137,-1,1.0,0.9270813
137,1,2.0,0.98725396
137,-1,2.0,0.9615451
137,1,3.0,0.9951668
137,-1,3.0,0.9615451
137,1,4.0,0.9980331
137,-1,4.0,0.9615451
137,1,6.0,0.99947566
137,-1,6.0,0.9615451
766,1,0.5,0.13874236
766,-1,0.5,0.18043223
766,1,1.0,0.57165784
766,-1,1.0,0.6254506
766,1,2.0,0.8484581
766,-1,2.0,0.9830997
766,1,3.0,0.93315685
766,-1,3.0,0.9830997
766,1,4.0,0.9704353
766,-1,4.0,0.9830997
766,1,6.0,0.99358
766,-1,6.0,0.9830997
333,1,0.5,0.00020520067
333,-1,0.5,0.0013636673
333,1,1.0,0.0014851022
333,-1,1.0,0.0051355544
333,1,2.0,0.04228079
333,-1,2.0,0.08771088
333,1,3.0,0.23732625
333,-1,3.0,0.6107789
333,1,4.0,0.6016721
333,-1,4.0,0.6107789
333,1,6.0,0.95134586
333,-1,6.0,0.6107789
1494,1,0.5,0.016926702
1494,-1,0.5,0.19159637
1494,1,1.0,0.2859151
1494,-1,1.0,0.6410173
1494,1,2.0,0.8569732
1494,-1,2.0,0.94150984
1494,1,3.0,0.93599653
1494,-1,3.0,0.94150984
1494,1,4.0,0.9700632
1494,-1,4.0,0.94150984
1494,1,6.0,0.9930056
1494,-1,6.0,0.94150984
298,1,0.5,0.0888927
298,-1,0.5,0.5297433
298,1,1.0,0.67053306
298,-1,1.0,0.90892076
298,1,2.0,0.90348667
298,-1,2.0,0.977747
298,1,3.0,0.9621227
298,-1,3.0,0.977747
298,1,4.0,0.983004
298,-1,4.0,0.977747
298,1,6.0,0.9960616
298,-1,6.0,0.977747
1391,1,0.5,0.00024068022
1391,-1,0.5,0.0001816712
1391,1,1.0,0.0024991368
1391,-1,1.0,0.0006454573
1391,1,2.0,0.046826553
1391,-1,2.0,0.008899513
1391,1,3.0,0.3226616
1391,-1,3.0,0.14108577
1391,1,4.0,0.7682762
1391,-1,4.0,0.6927199
1391,1,6.0,0.9643698
1391,-1,6.0,0.6927199
1528,1,0.5,0.006501273
1528,-1,0.5,0.023342725
1528,1,1.0,0.06603741
1528,-1,1.0,0.120045915
1528,1,2.0,0.49735078
1528,-1,2.0,0.9346984
1528,1,3.0,0.8099983
1528,-1,3.0,0.9564271
1528,1,4.0,0.91268474
1528,-1,4.0,0.9564271
1528,1,6.0,0.9803611
1528,-1,6.0,0.9564271
1682,1,0.5,0.5245768
1682,-1,0.5,0.10328848
1682,1,1.0,0.7920911
1682,-1,1.0,0.5647993
1682,1,2.0,0.9171893
1682,-1,2.0,0.98922324
1682,1,3.0,0.96772546
1682,-1,3.0,0.98983043
1682,1,4.0,0.9861215
1682,-1,4.0,0.98983043
1682,1,6.0,0.9969336
1682,-1,6.0,0.98983043
1583,1,0.5,0.034240548
1583,-1,0.5,0.22210781
1583,1,1.0,0.3429001
1583,-1,1.0,0.7583828
1583,1,2.0,0.8344418
1583,-1,2.0,0.98057574
1583,1,3.0,0.93307704
1583,-1,3.0,0.98057574
1583,1,4.0,0.9692235
1583,-1,4.0,0.98057574
1583,1,6.0,0.9934316
1583,-1,6.0,0.98057574
1657,1,0.5,0.39885893
1657,-1,0.5,0.26300776
1657,1,1.0,0.80532515
1657,-1,1.0,0.78918475
1657,1,2.0,0.9256089
1657,-1,2.0,0.9855618
1657,1,3.0,0.97115165
1657,-1,3.0,0.9855618
1657,1,4.0,0.987485
1657,-1,4.0,0.9855618
1657,1,6.0,0.99724305
1657,-1,6.0,0.9855618
1718,1,0.5,0.0006856768
1718,-1,0.5,0.001696933
1718,1,1.0,0.0059089228
1718,-1,1.0,0.006528343
1718,1,2.0,0.09827514
1718,-1,2.0,0.07583954
1718,1,3.0,0.3771515
1718,-1,3.0,0.5522587
1718,1,4.0,0.70121133
1718,-1,4.0,0.5522587
1718,1,6.0,0.9618987
1718,-1,6.0,0.5522587
809,1,0.5,0.79386103
809,-1,0.5,0.500747
809,1,1.0,0.915635
809,-1,1.0,0.9066387
809,1,2.0,0.9731948
809,-1,2.0,0.9802725
809,1,3.0,0.9898151
809,-1,3.0,0.9802725
809,1,4.0,0.99527365
809,-1,4.0,0.9802725
809,1,6.0,0.9985655
809,-1,6.0,0.9802725
1003,1,0.5,0.3746504
1003,-1,0.5,0.050761167
1003,1,1.0,0.6698991
1003,-1,1.0,0.41297197
1003,1,2.0,0.84107983
1003,-1,2.0,0.98356473
1003,1,3.0,0.9059874
1003,-1,3.0,0.99578923
1003,1,4.0,0.95704275
1003,-1,4.0,0.99578923
1003,1,6.0,0.99016935
1003,-1,6.0,0.99578923
531,1,0.5,0.032431655
531,-1,0.5,0.0024910346
531,1,1.0,0.19733948
531,-1,1.0,0.011906825
531,1,2.0,0.7171489
531,-1,2.0,0.320182
531,1,3.0,0.88753206
531,-1,3.0,0.9511462
531,1,4.0,0.9526908
531,-1,4.0,0.9511462
531,1,6.0,0.98954165
531,-1,6.0,0.9511462
1660,1,0.5,0.007933637
1660,-1,0.5,0.39529893
1660,1,1.0,0.1662634
1660,-1,1.0,0.8604996
1660,1,2.0,0.7810702
1660,-1,2.0,0.99060625
1660,1,3.0,0.9059143
1660,-1,3.0,0.99060625
1660,1,4.0,0.9630995
1660,-1,4.0,0.99060625
1660,1,6.0,0.9926407
1660,-1,6.0,0.99060625
612,1,0.5,0.04342051
612,-1,0.5,0.056600556
612,1,1.0,0.3302047
612,-1,1.0,0.16007112
612,1,2.0,0.8149119
612,-1,2.0,0.9082924
612,1,3.0,0.9266478
612,-1,3.0,0.92371106
612,1,4.0,0.96606576
612,-1,4.0,0.92371106
612,1,6.0,0.9923645
612,-1,6.0,0.92371106
1610,1,0.5,0.13890877
1610,-1,0.5,0.08065682
1610,1,1.0,0.49331978
1610,-1,1.0,0.34909004
1610,1,2.0,0.86228967
1610,-1,2.0,0.97752255
1610,1,3.0,0.9385235
1610,-1,3.0,0.98116344
1610,1,4.0,0.9745368
1610,-1,4.0,0.98116344
1610,1,6.0,0.9947588
1610,-1,6.0,0.98116344
123,1,0.5,0.74816537
123,-1,0.5,0.68560404
123,1,1.0,0.9095971
123,-1,1.0,0.9546843
123,1,2.0,0.9723103
123,-1,2.0,0.98408246
123,1,3.0,0.98929965
123,-1,3.0,0.98408246
123,1,4.0,0.99494815
123,-1,4.0,0.98408246
123,1,6.0,0.99853635
123,-1,6.0,0.98408246
1275,1,0.5,0.6576596
1275,-1,0.5,0.2925325
1275,1,1.0,0.84596497
1275,-1,1.0,0.8475373
1275,1,2.0,0.96309227
1275,-1,2.0,0.99354583
1275,1,3.0,0.98602587
1275,-1,3.0,0.99354583
1275,1,4.0,0.9940158
1275,-1,4.0,0.99354583
1275,1,6.0,0.9986784
1275,-1,6.0,0.99354583
1519,1,0.5,0.08429486
1519,-1,0.5,0.24280395
1519,1,1.0,0.5853175
1519,-1,1.0,0.7782028
1519,1,2.0,0.86356044
1519,-1,2.0,0.9862156
1519,1,3.0,0.94543797
1519,-1,3.0,0.9862156
1519,1,4.0,0.9753965
1519,-1,4.0,0.9862156
1519,1,6.0,0.99459827
1519,-1,6.0,0.9862156
232,1,0.5,0.023969632
232,-1,0.5,0.0153795825
232,1,1.0,0.17090613
232,-1,1.0,0.05630812
232,1,2.0,0.5837263
232,-1,2.0,0.5858581
232,1,3.0,0.8403372
232,-1,3.0,0.9025516
232,1,4.0,0.92899936
232,-1,4.0,0.9025516
232,1,6.0,0.9836616
232,-1,6.0,0.9025516
1135,1,0.5,0.054644834
1135,-1,0.5,0.058292672
1135,1,1.0,0.36490878
1135,-1,1.0,0.23807402
1135,1,2.0,0.80134666
1135,-1,2.0,0.9443298
1135,1,3.0,0.9263585
1135,-1,3.0,0.95486856
1135,1,4.0,0.9687572
1135,-1,4.0,0.95486856
1135,1,6.0,0.9937942
1135,-1,6.0,0.95486856
1000,1,0.5,0.76625365
1000,-1,0.5,0.09411606
1000,1,1.0,0.8929177
1000,-1,1.0,0.57940865
1000,1,2.0,0.9567821
1000,-1,2.0,0.9941943
1000,1,3.0,0.97344494
1000,-1,3.0,0.99902856
1000,1,4.0,0.9892418
1000,-1,4.0,0.99902856
1000,1,6.0,0.99739
1000,-1,6.0,0.99902856
561,1,0.5,5.5325232e-05
561,-1,0.5,0.00094022404
561,1,1.0,2.8941673e-05
561,-1,1.0,0.0043483926
561,1,2.0,0.0006468642
561,-1,2.0,0.08441791
561,1,3.0,0.010226434
561,-1,3.0,0.47135878
561,1,4.0,0.08452141
561,-1,4.0,0.47135878
561,1,6.0,0.79535925
561,-1,6.0,0.47135878
1423,1,0.5,4.0858922e-05
1423,-1,0.5,0.00026140548
1423,1,1.0,0.00028288495
1423,-1,1.0,0.00075133226
1423,1,2.0,0.009724949
1423,-1,2.0,0.010759536
1423,1,3.0,0.05832884
1423,-1,3.0,0.11687226
1423,1,4.0,0.15591565
1423,-1,4.0,0.11687226
1423,1,6.0,0.5909647
1423,-1,6.0,0.11687226
526,1,0.5,0.017133983
526,-1,0.5,0.00839597
526,1,1.0,0.1351505
526,-1,1.0,0.023974909
526,1,2.0,0.5559914
526,-1,2.0,0.30098808
526,1,3.0,0.8155138
526,-1,3.0,0.7967905
526,1,4.0,0.9217174
526,-1,4.0,0.7967905
526,1,6.0,0.9832796
526,-1,6.0,0.7967905
961,1,0.5,0.74143034
961,-1,0.5,0.57741565
961,1,1.0,0.9252285
961,-1,1.0,0.9138649
961,1,2.0,0.98321486
961,-1,2.0,0.9533379
961,1,3.0,0.99447846
961,-1,3.0,0.9533379
961,1,4.0,0.99717355
961,-1,4.0,0.9533379
961,1,6.0,0.99919707
961,-1,6.0,0.9533379
825,1,0.5,0.6603145
825,-1,0.5,0.5973444
825,1,1.0,0.90574706
825,-1,1.0,0.9295523
825,1,2.0,0.97626114
825,-1,2.0,0.9391929
825,1,3.0,0.9911572
825,-1,3.0,0.9391929
825,1,4.0,0.9958697
825,-1,4.0,0.9391929
825,1,6.0,0.9989537
825,-1,6.0,0.9391929
357,1,0.5,8.771179e-05
357,-1,0.5,0.00056154025
357,1,1.0,0.00069422857
357,-1,1.0,0.0018091521
357,1,2.0,0.017062975
357,-1,2.0,0.023512624
357,1,3.0,0.094921194
357,-1,3.0,0.26621822
357,1,4.0,0.35805285
357,-1,4.0,0.3591715
357,1,6.0,0.8976675
357,-1,6.0,0.3591715
1298,1,0.5,0.11678973
1298,-1,0.5,0.10477168
1298,1,1.0,0.6000827
1298,-1,1.0,0.5600692
1298,1,2.0,0.91070575
1298,-1,2.0,0.94270205
1298,1,3.0,0.95979697
1298,-1,3.0,0.94270205
1298,1,4.0,0.97891074
1298,-1,4.0,0.94270205
1298,1,6.0,0.99486095
1298,-1,6.0,0.94270205
1486,1,0.5,0.019795986
1486,-1,0.5,0.06363251
1486,1,1.0,0.19105688
1486,-1,1.0,0.23867072
1486,1,2.0,0.65748525
1486,-1,2.0,0.91562426
1486,1,3.0,0.86561096
1486,-1,3.0,0.91562426
1486,1,4.0,0.9382725
1486,-1,4.0,0.91562426
1486,1,6.0,0.9856549
1486,-1,6.0,0.91562426
277,1,0.5,0.26682314
277,-1,0.5,0.1080142
277,1,1.0,0.6891814
277,-1,1.0,0.5534492
277,1,2.0,0.88620275
277,-1,2.0,0.98942554
277,1,3.0,0.9548551
277,-1,3.0,0.9900205
277,1,4.0,0.9805172
277,-1,4.0,0.9900205
277,1,6.0,0.99589074
277,-1,6.0,0.9900205
1664,1,0.5,0.17894664
1664,-1,0.5,0.306939
1664,1,1.0,0.639616
1664,-1,1.0,0.7757474
1664,1,2.0,0.89403737
1664,-1,2.0,0.9685487
1664,1,3.0,0.9587488
1664,-1,3.0,0.9685487
1664,1,4.0,0.98153746
1664,-1,4.0,0.9685487
1664,1,6.0,0.9960789
1664,-1,6.0,0.9685487
335,1,0.5,0.003202585
335,-1,0.5,0.0016773363
335,1,1.0,0.029736025
335,-1,1.0,0.0053430805
335,1,2.0,0.2469642
335,-1,2.0,0.06696509
335,1,3.0,0.5962611
335,-1,3.0,0.71592784
335,1,4.0,0.84686714
335,-1,4.0,0.71592784
335,1,6.0,0.9748823
335,-1,6.0,0.71592784
1510,1,0.5,0.13207173
1510,-1,0.5,0.13595136
1510,1,1.0,0.5162183
1510,-1,1.0,0.5236699
1510,1,2.0,0.8114531
1510,-1,2.0,0.9667641
1510,1,3.0,0.91844004
1510,-1,3.0,0.9667641
1510,1,4.0,0.9601565
1510,-1,4.0,0.9667641
1510,1,6.0,0.9903876
1510,-1,6.0,0.9667641
597,1,0.5,0.00012890229
597,-1,0.5,0.0010015668
597,1,1.0,0.000829663
597,-1,1.0,0.0029882197
597,1,2.0,0.022283057
597,-1,2.0,0.033742275
597,1,3.0,0.15115857
597,-1,3.0,0.20645854
597,1,4.0,0.36935332
597,-1,4.0,0.20645854
597,1,6.0,0.87367034
597,-1,6.0,0.20645854
292,1,0.5,0.06623845
292,-1,0.5,0.22113112
292,1,1.0,0.43142375
292,-1,1.0,0.73739743
292,1,2.0,0.82637185
292,-1,2.0,0.9768425
292,1,3.0,0.9252146
292,-1,3.0,0.9768425
292,1,4.0,0.967165
292,-1,4.0,0.9768425
292,1,6.0,0.993145
292,-1,6.0,0.9768425
130,1,0.5,0.33237672
130,-1,0.5,0.55136126
130,1,1.0,0.8668569
130,-1,1.0,0.9053018
130,1,2.0,0.96379304
130,-1,2.0,0.9340906
130,1,3.0,0.98658425
130,-1,3.0,0.9340906
130,1,4.0,0.99391186
130,-1,4.0,0.9340906
130,1,6.0,0.99848133
130,-1,6.0,0.9340906
1293,1,0.5,0.03375602
1293,-1,0.5,0.027545951
1293,1,1.0,0.28402415
1293,-1,1.0,0.09284414
1293,1,2.0,0.82484055
1293,-1,2.0,0.89136857
1293,1,3.0,0.92956823
1293,-1,3.0,0.96823335
1293,1,4.0,0.96953255
1293,-1,4.0,0.96823335
1293,1,6.0,0.9933954
1293,-1,6.0,0.96823335
422,1,0.5,1.2818894e-06
422,-1,0.5,1.555429e-05
422,1,1.0,1.0156398e-05
422,-1,1.0,5.1271993e-05
422,1,2.0,0.00039675267
422,-1,2.0,0.0005354135
422,1,3.0,0.0034435892
422,-1,3.0,0.009254563
422,1,4.0,0.020147387
422,-1,4.0,0.027639475
422,1,6.0,0.14771526
422,-1,6.0,0.027639475
687,1,0.5,0.08718338
687,-1,0.5,0.1971425
687,1,1.0,0.51676065
687,-1,1.0,0.6793637
687,1,2.0,0.857348
687,-1,2.0,0.9678812
687,1,3.0,0.94034404
687,-1,3.0,0.9678812
687,1,4.0,0.9745685
687,-1,4.0,0.9678812
687,1,6.0,0.9942993
687,-1,6.0,0.9678812
1655,1,0.5,0.5370299
1655,-1,0.5,0.104123585
1655,1,1.0,0.8076436
1655,-1,1.0,0.5668772
1655,1,2.0,0.9228458
1655,-1,2.0,0.9837841
1655,1,3.0,0.9698303
1655,-1,3.0,0.98543537
1655,1,4.0,0.98707306
1655,-1,4.0,0.98543537
1655,1,6.0,0.9971564
1655,-1,6.0,0.98543537
105,1,0.5,0.5984609
105,-1,0.5,0.7341373
105,1,1.0,0.9181631
105,-1,1.0,0.94508845
105,1,2.0,0.9807643
105,-1,2.0,0.94508845
105,1,3.0,0.9932233
105,-1,3.0,0.94508845
105,1,4.0,0.99694914
105,-1,4.0,0.94508845
105,1,6.0,0.9992011
105,-1,6.0,0.94508845
873,1,0.5,0.045048654
873,-1,0.5,0.5274743
873,1,1.0,0.6251439
873,-1,1.0,0.9053542
873,1,2.0,0.9203433
873,-1,2.0,0.95162374
873,1,3.0,0.9667007
873,-1,3.0,0.95162374
873,1,4.0,0.98291874
873,-1,4.0,0.95162374
873,1,6.0,0.9956721
873,-1,6.0,0.95162374
1649,1,0.5,0.010777533
1649,-1,0.5,0.19318686
1649,1,1.0,0.13179044
1649,-1,1.0,0.65043044
1649,1,2.0,0.6290305
1649,-1,2.0,0.96265584
1649,1,3.0,0.8571425
1649,-1,3.0,0.96265584
1649,1,4.0,0.94179165
1649,-1,4.0,0.96265584
1649,1,6.0,0.9872945
1649,-1,6.0,0.96265584
794,1,0.5,0.06024563
794,-1,0.5,0.47086057
794,1,1.0,0.68002725
794,-1,1.0,0.8517916
794,1,2.0,0.9260647
794,-1,2.0,0.9529594
794,1,3.0,0.9702838
794,-1,3.0,0.9529594
794,1,4.0,0.98453724
794,-1,4.0,0.9529594
794,1,6.0,0.9958858
794,-1,6.0,0.9529594
187,1,0.5,0.034934025
187,-1,0.5,0.03330271
187,1,1.0,0.22192003
187,-1,1.0,0.123221174
187,1,2.0,0.6088884
187,-1,2.0,0.8329435
187,1,3.0,0.85408574
187,-1,3.0,0.8720204
187,1,4.0,0.9315168
187,-1,4.0,0.8720204
187,1,6.0,0.98446345
187,-1,6.0,0.8720204
987,1,0.5,0.3766055
987,-1,0.5,0.7573533
987,1,1.0,0.9034968
987,-1,1.0,0.8683181
987,1,2.0,0.98295677
987,-1,2.0,0.8683181
987,1,3.0,0.9952868
987,-1,3.0,0.8683181
987,1,4.0,0.9983261
987,-1,4.0,0.8683181
987,1,6.0,0.9995741
987,-1,6.0,0.8683181
321,1,0.5,0.038000368
321,-1,0.5,0.004741288
321,1,1.0,0.16164482
321,-1,1.0,0.038199216
321,1,2.0,0.5926596
321,-1,2.0,0.6522085
321,1,3.0,0.8823491
321,-1,3.0,0.9799774
321,1,4.0,0.9487505
321,-1,4.0,0.9799774
321,1,6.0,0.98824805
321,-1,6.0,0.9799774
1483,1,0.5,0.006833882
1483,-1,0.5,0.020078693
1483,1,1.0,0.06649253
1483,-1,1.0,0.0928104
1483,1,2.0,0.41184428
1483,-1,2.0,0.79168767
1483,1,3.0,0.7267169
1483,-1,3.0,0.897028
1483,1,4.0,0.90328676
1483,-1,4.0,0.897028
1483,1,6.0,0.9781762
1483,-1,6.0,0.897028
1623,1,0.5,0.44843945
1623,-1,0.5,0.54912204
1623,1,1.0,0.81925154
1623,-1,1.0,0.9335325
1623,1,2.0,0.9414967
1623,-1,2.0,0.9889444
1623,1,3.0,0.9758267
1623,-1,3.0,0.9889444
1623,1,4.0,0.9890639
1623,-1,4.0,0.9889444
1623,1,6.0,0.997538
1623,-1,6.0,0.9889444
1269,1,0.5,0.42331725
1269,-1,0.5,0.61800677
1269,1,1.0,0.87510103
1269,-1,1.0,0.9346704
1269,1,2.0,0.9642937
1269,-1,2.0,0.95160174
1269,1,3.0,0.98865926
1269,-1,3.0,0.95160174
1269,1,4.0,0.99510455
1269,-1,4.0,0.95160174
1269,1,6.0,0.9988417
1269,-1,6.0,0.95160174
309,1,0.5,0.45198318
309,-1,0.5,0.11368416
309,1,1.0,0.7938285
309,-1,1.0,0.6565158
309,1,2.0,0.90581113
309,-1,2.0,0.9924696
309,1,3.0,0.96279603
309,-1,3.0,0.9924696
309,1,4.0,0.9845234
309,-1,4.0,0.9924696
309,1,6.0,0.9966822
309,-1,6.0,0.9924696
158,1,0.5,1.1793446e-05
158,-1,0.5,1.5787125e-05
158,1,1.0,5.574197e-05
158,-1,1.0,8.048336e-05
158,1,2.0,0.0008067591
158,-1,2.0,0.0017431654
158,1,3.0,0.006531467
158,-1,3.0,0.040344328
158,1,4.0,0.060932294
158,-1,4.0,0.5801806
158,1,6.0,0.6595972
158,-1,6.0,0.5801806
102,1,0.5,0.23997694
102,-1,0.5,0.7541184
102,1,1.0,0.89908004
102,-1,1.0,0.9206247
102,1,2.0,0.9778205
102,-1,2.0,0.9206247
102,1,3.0,0.9930911
102,-1,3.0,0.9206247
102,1,4.0,0.9972709
102,-1,4.0,0.9206247
102,1,6.0,0.99927884
102,-1,6.0,0.9206247
1702,1,0.5,0.0037043178
1702,-1,0.5,0.011243319
1702,1,1.0,0.05803644
1702,-1,1.0,0.08892244
1702,1,2.0,0.36495194
1702,-1,2.0,0.88597596
1702,1,3.0,0.7361248
1702,-1,3.0,0.97576773
1702,1,4.0,0.8926449
1702,-1,4.0,0.97576773
1702,1,6.0,0.97595346
1702,-1,6.0,0.97576773
11,1,0.5,0.0037542174
11,-1,0.5,0.031963754
11,1,1.0,0.006988675
11,-1,1.0,0.13619417
11,1,2.0,0.14217968
11,-1,2.0,0.7106749
11,1,3.0,0.4336917
11,-1,3.0,0.7106749
11,1,4.0,0.69307137
11,-1,4.0,0.7106749
11,1,6.0,0.9527975
11,-1,6.0,0.7106749
1608,1,0.5,0.17259243
1608,-1,0.5,0.14946252
1608,1,1.0,0.5971339
1608,-1,1.0,0.5541022
1608,1,2.0,0.8575929
1608,-1,2.0,0.9744742
1608,1,3.0,0.9361632
1608,-1,3.0,0.9744742
1608,1,4.0,0.9701741
1608,-1,4.0,0.9744742
1608,1,6.0,0.99355304
1608,-1,6.0,0.9744742
1601,1,0.5,0.018124541
1601,-1,0.5,0.022882545
1601,1,1.0,0.21515416
1601,-1,1.0,0.10770412
1601,1,2.0,0.74904436
1601,-1,2.0,0.9512352
1601,1,3.0,0.8928974
1601,-1,3.0,0.9677001
1601,1,4.0,0.9530235
1601,-1,4.0,0.9677001
1601,1,6.0,0.9899306
1601,-1,6.0,0.9677001
249,1,0.5,0.25577337
249,-1,0.5,0.00485909
249,1,1.0,0.522332
249,-1,1.0,0.08881442
249,1,2.0,0.8250022
249,-1,2.0,0.828642
249,1,3.0,0.92519134
249,-1,3.0,0.9601864
249,1,4.0,0.96506816
249,-1,4.0,0.9601864
249,1,6.0,0.9921624
249,-1,6.0,0.9601864
68,1,0.5,0.34251648
68,-1,0.5,0.7870176
68,1,1.0,0.84640497
68,-1,1.0,0.9573642
68,1,2.0,0.9677985
68,-1,2.0,0.9749951
68,1,3.0,0.9885604
68,-1,3.0,0.9749951
68,1,4.0,0.99458873
68,-1,4.0,0.9749951
68,1,6.0,0.998711
68,-1,6.0,0.9749951
147,1,0.5,0.18712573
147,-1,0.5,0.015860876
147,1,1.0,0.5395347
147,-1,1.0,0.11013589
147,1,2.0,0.82343626
147,-1,2.0,0.9551771
147,1,3.0,0.9083392
147,-1,3.0,0.99743074
147,1,4.0,0.95510775
147,-1,4.0,0.99743074
147,1,6.0,0.9903866
147,-1,6.0,0.99743074
1186,1,0.5,0.399641
1186,-1,0.5,0.07288564
1186,1,1.0,0.770106
1186,-1,1.0,0.5074399
1186,1,2.0,0.9432024
1186,-1,2.0,0.97600085
1186,1,3.0,0.97567433
1186,-1,3.0,0.97600085
1186,1,4.0,0.9886828
1186,-1,4.0,0.97600085
1186,1,6.0,0.99751127
1186,-1,6.0,0.97600085
967,1,0.5,0.5302229
967,-1,0.5,0.4030305
967,1,1.0,0.88201517
967,-1,1.0,0.8762968
967,1,2.0,0.976071
967,-1,2.0,0.91482913
967,1,3.0,0.99268144
967,-1,3.0,0.91482913
967,1,4.0,0.99697447
967,-1,4.0,0.91482913
967,1,6.0,0.9991756
967,-1,6.0,0.91482913
1007,1,0.5,0.003976249
1007,-1,0.5,0.0029076699
1007,1,1.0,0.037075114
1007,-1,1.0,0.015437137
1007,1,2.0,0.28000203
1007,-1,2.0,0.4234747
1007,1,3.0,0.6341771
1007,-1,3.0,0.8613739
1007,1,4.0,0.8480848
1007,-1,4.0,0.8613739
1007,1,6.0,0.97034574
1007,-1,6.0,0.8613739
1214,1,0.5,0.07298697
1214,-1,0.5,0.012866781
1214,1,1.0,0.26772654
1214,-1,1.0,0.08158486
1214,1,2.0,0.67556
1214,-1,2.0,0.4970272
1214,1,3.0,0.85798264
1214,-1,3.0,0.4970272
1214,1,4.0,0.91874725
1214,-1,4.0,0.4970272
1214,1,6.0,0.98454607
1214,-1,6.0,0.4970272
1441,1,0.5,0.0006247939
1441,-1,0.5,0.000322762
1441,1,1.0,0.0051937527
1441,-1,1.0,0.00065504434
1441,1,2.0,0.08118296
1441,-1,2.0,0.00875751
1441,1,3.0,0.36608982
1441,-1,3.0,0.16847746
1441,1,4.0,0.685622
1441,-1,4.0,0.4275379
1441,1,6.0,0.95814705
1441,-1,6.0,0.4275379
736,1,0.5,0.67645776
736,-1,0.5,0.64251256
736,1,1.0,0.9097834
736,-1,1.0,0.95846516
736,1,2.0,0.9759294
736,-1,2.0,0.9911374
736,1,3.0,0.99071336
736,-1,3.0,0.9911374
736,1,4.0,0.99597293
736,-1,4.0,0.9911374
736,1,6.0,0.99906975
736,-1,6.0,0.9911374
734,1,0.5,0.8516733
734,-1,0.5,0.4669292
734,1,1.0,0.9418224
734,-1,1.0,0.9162822
734,1,2.0,0.98298186
734,-1,2.0,0.98398244
734,1,3.0,0.9934877
734,-1,3.0,0.98398244
734,1,4.0,0.99714124
734,-1,4.0,0.98398244
734,1,6.0,0.9992988
734,-1,6.0,0.98398244
1305,1,0.5,0.09312622
1305,-1,0.5,0.07666358
1305,1,1.0,0.47096542
1305,-1,1.0,0.35837895
1305,1,2.0,0.8675856
1305,-1,2.0,0.9791469
1305,1,3.0,0.937578
1305,-1,3.0,0.9859634
1305,1,4.0,0.9739049
1305,-1,4.0,0.9859634
