model_seed,anomaly_replica,macro_f1,weighted_f1,balanced_accuracy,mcc,f1_good,f1_suspect,f1_bad,auprc_bad
42,0,0.7103833176044771,0.8906194492986604,0.7131600214527635,0.8024476723114554,0.9181322013341419,0.9053254437869822,0.3076923076923077,0.22525888901918542
42,1,0.722504409478725,0.8642609283701148,0.7343186996673597,0.7499146938396783,0.9066286528866714,0.8944723618090452,0.366412213740458,0.3325612320417631
42,2,0.7647737009258453,0.8838344834530524,0.7575105036391747,0.7997875993438386,0.9338677354709419,0.8989149057681325,0.46153846153846156,0.4246300708911975
7,0,0.6829037951174434,0.8652895278551931,0.6894705913313425,0.7403538299713102,0.9076600209863589,0.8553370786516854,0.2857142857142857,0.28684587298306463
7,1,0.6931355226512702,0.8286342023050496,0.7137910115856272,0.686981476817543,0.9001203369434416,0.8156498673740054,0.36363636363636365,0.24373653513310806
7,2,0.7442956067426305,0.8701144526198953,0.745721583652618,0.7647253413909334,0.9237425635478637,0.8721694667640614,0.4369747899159664,0.4048116522507681
123,0,0.7190535643113108,0.8975175883200677,0.7134567373236753,0.8052172953386268,0.9383100051840332,0.8885754583921015,0.3302752293577982,0.239768052189697
123,1,0.7106153265685141,0.8465177109502641,0.7148271156030196,0.7180072761411416,0.9090909090909091,0.8362004487658938,0.3865546218487395,0.3004973374730787
123,2,0.7343999348258062,0.8446986938517876,0.7285627269235216,0.7167072032245508,0.9074751698902248,0.8123123123123123,0.4834123222748815,0.4672584248275964
