boia,n_pontos,macro_f1,weighted_f1,balanced_accuracy,f1_good,f1_suspect,f1_bad,binary_f1,binary_precision,binary_recall,auprc_bad,auroc_bad,n_bad_real
"BA-1 (origem, treino)",1728,0.6477636535031098,0.8529171466094737,0.6542441737770253,0.9063711911357341,0.8443271767810027,0.1925925925925926,0.8976377952755905,0.9475703324808185,0.8527042577675489,0.1843388788336433,0.8175300342232739,59
ES-1,2991,0.28250487915932687,0.2613772429500613,0.4027527462848906,0.24785510009532888,0.036785285885645745,0.562874251497006,0.16507936507936508,0.0911214953271028,0.8764044943820225,0.34672284431884354,0.7958074534161492,184
PR-1,8736,0.23684086393112116,0.3380306962494164,0.3615927204123938,0.3505052506439469,0.04195804195804196,0.31805929919137466,0.11141230685822716,0.05953070683661645,0.8670886075949367,0.151155743692608,0.8595206414413483,135
RJ-1,8736,0.18189952722971547,0.2132353122037967,0.33145473929402053,0.21919571045576408,0.037994313776169554,0.2885085574572127,0.10629679636676077,0.05643164342499674,0.9135021097046413,0.15513160056514186,0.8875346105319364,135
RJ-2,8736,0.4382563326365038,0.8019892937012035,0.556413804824162,0.8371346864755528,0.1239757748485928,0.35365853658536583,0.2551834130781499,0.1503194287861706,0.8438818565400844,0.19257283255640986,0.8724076011833249,135
RJ-4,8736,0.15906562045924164,0.194801509733641,0.28971086304072596,0.20069279064732626,0.03104952527585322,0.24545454545454545,0.10323050765120233,0.0547680412371134,0.8966244725738397,0.12511548563047228,0.8663200230808649,135
