metrica,media,desvio_padrao,min,max,ic95_inferior,ic95_superior
macro_f1,0.7599133708687137,0.042782976505608354,0.714598581457602,0.8313960453660713,0.7392400155722868,0.7818622818936453
f1_good,0.9804677886152597,0.003632437931439776,0.9726509612780937,0.9854992657856094,0.9785815019531053,0.982164612140087
f1_suspect,0.6653517566457388,0.09161709542066766,0.5206124852767963,0.7916666666666666,0.6200982723855611,0.7084082173089179
f1_bad,0.6339205673451425,0.07880847391992554,0.4659270998415214,0.7616279069767442,0.593196599566184,0.6719018694338056
binary_f1,0.8842150351423717,0.02965978078543298,0.8346972176759411,0.9125138427464009,0.8689955698865092,0.8977585274064085
binary_precision,0.9151468783778967,0.0375195602113274,0.8351528384279476,0.9555785123966942,0.895760902603224,0.9320347910577504
binary_recall,0.8556020218732976,0.026272955988818094,0.8125,0.8879310344827587,0.8424374008744288,0.8678053871884406
auprc_bad,0.6510609010427953,0.14787189856457275,0.31858694959304334,0.828254848031351,0.5719359468028845,0.7184806464475161
auroc_bad,0.9282992716459034,0.03566074411087718,0.8509041121214572,0.9646061196552544,0.9092355902413649,0.9447088829340802
