familia,n_horas,acuracia_exata,fracao_sinalizada
A,2,0.5,0.5
B,11,0.45454545454545453,0.7272727272727273
C,444,0.12837837837837837,0.1891891891891892
D,96,0.14583333333333334,0.14583333333333334
E,87,0.0,0.0
F,108,0.2962962962962963,0.6203703703703703
G,3,1.0,1.0
