datetime_utc,Hsig,Tp,Hmax,HM0,Avg_Sal,Avg_DO,Avg_W_Tmp1,Avg_W_Tmp2,Avg_Turb,Avg_Chl,Avg_CDOM
2019,97.88170563961486,97.88170563961486,97.88170563961486,97.88170563961486,97.82668500687758,97.82668500687758,97.7716643741403,97.79917469050893,97.7716643741403,97.7716643741403,97.7716643741403
2020,99.76092896174863,99.76092896174863,99.76092896174863,99.76092896174863,99.76092896174863,99.73816029143899,99.76092896174863,99.77231329690346,99.73816029143899,99.73816029143899,99.73816029143899
2021,99.17808219178083,99.17808219178083,99.17808219178083,99.17808219178083,99.2579908675799,99.08675799086758,99.06392694063926,99.08675799086758,99.07534246575342,99.07534246575342,99.07534246575342
2022,79.55479452054794,79.55479452054794,79.55479452054794,79.55479452054794,92.14611872146119,92.07762557077626,92.00913242009132,91.98630136986301,91.81506849315069,91.81506849315069,91.81506849315069
2023,96.88356164383562,96.88356164383562,96.88356164383562,96.88356164383562,97.27168949771689,96.5296803652968,96.74657534246576,96.72374429223744,96.79223744292239,96.79223744292239,96.79223744292239
2024,94.38752276867031,94.38752276867031,94.38752276867031,94.38752276867031,93.95491803278688,93.61338797814209,93.77276867030966,79.26912568306011,93.60200364298726,93.60200364298726,93.60200364298726
2025,65.44520547945206,65.44520547945206,65.44520547945206,65.44520547945206,98.72146118721462,98.52739726027397,98.56164383561644,98.56164383561644,81.57534246575342,81.57534246575342,81.57534246575342
2026,0.0,0.0,0.0,0.0,99.61468262015818,99.61468262015818,99.59440275806124,99.59440275806124,99.59440275806124,99.59440275806124,99.59440275806124
