metodo,precision,recall,f1
LSTM-Peak (H/T/d fixos),0.5384615384615384,0.11864406779661017,0.19444444444444445
Robusto mediana/MAD,0.044444444444444446,0.6101694915254238,0.08285385500575373
GPD-POT,0.7142857142857143,0.0847457627118644,0.15151515151515152
Spike tradicional,0.17647058823529413,0.15254237288135594,0.16363636363636364
Isolation Forest,0.05084745762711865,0.05084745762711865,0.05084745762711865
"QC-LSTM 3 classes (E_full, so BAD)",,,0.2923076923076923
