config,macro_f1,f1_bad,auprc_bad,ece,balanced_accuracy
B_residual,0.7143595813516402,0.32592592592592595,0.2621426082713727,0.054374804858256284,0.7292487532826075
C_residual_stats,0.720708030454973,0.3291139240506329,0.25278032155032326,0.02847103633124521,0.7539682224818106
D_hidden_residual,0.6838389717643554,0.29508196721311475,0.23084192465703232,0.03202457094771994,0.690732144941662
E_full,0.7125698974636713,0.2923076923076923,0.1918468777994044,0.02347034767821982,0.7221185093757883
F_no_lstm,0.36640535723651846,0.20195439739413681,0.29553901930105575,0.16483580590122276,0.5006650111794367
