model_seed,anomaly_replica,tau_b,macro_f1,weighted_f1,balanced_accuracy,mcc,f1_good,f1_suspect,f1_bad,binary_precision,binary_recall,binary_f1,causality_violation
42,0,0.8,0.6496635236853184,0.8393182129681295,0.7536089651698051,0.6918108427057462,0.9087965461413924,0.7914893617021277,0.24870466321243523,0.9434210526315789,0.8505338078291815,0.8945726762320648,0.0
42,1,0.45,0.6233631508011536,0.8663339111713733,0.638519658221645,0.7298394944162965,0.9144942648592284,0.8435951875442321,0.112,0.920911528150134,0.8674242424242424,0.893368010403121,0.0
42,2,0.6000000000000001,0.737763275785106,0.8811416310361038,0.8606919469356599,0.7637191328298082,0.9214092140921409,0.8547945205479452,0.4370860927152318,0.903822441430333,0.91625,0.909993792675357,0.0
42,3,0.3,0.5999308810791356,0.776819787384313,0.77205461534962,0.5939248439683535,0.880184331797235,0.7018867924528301,0.21772151898734177,0.8852459016393442,0.8729792147806005,0.8790697674418605,0.0
42,4,0.9000000000000001,0.5821196415011586,0.789111712614345,0.6236650868878357,0.5965519289768489,0.8458942632170978,0.7586206896551724,0.14184397163120568,0.8841309823677582,0.7941176470588235,0.8367103694874851,0.0
7,0,0.6500000000000001,0.4846841324975982,0.6331507455471543,0.5789318293365853,0.43355352350946313,0.7915712322491983,0.48066298342541436,0.18181818181818182,0.9511627906976744,0.4851720047449585,0.6425765907305577,0.0
7,1,0.55,0.6077212802301726,0.8453802348257784,0.6227548613310202,0.6966015087144088,0.9031931069437404,0.8097345132743363,0.11023622047244094,0.934876989869754,0.8156565656565656,0.8712070128118679,0.0
7,2,0.4,0.7056495688244241,0.8816781639243132,0.8532635405737948,0.7595292841389059,0.9321218599679316,0.8480921526277898,0.336734693877551,0.9286624203821656,0.91125,0.9198738170347003,0.0
7,3,0.45,0.6577765348863397,0.8359602707220624,0.7924788832779827,0.687224355529153,0.9177538287010777,0.7841472045293701,0.2714285714285714,0.9359129383313181,0.8937644341801386,0.9143532191376255,0.0
7,4,0.9000000000000001,0.6080046221739088,0.8257285591546571,0.648885791283338,0.6684138709609843,0.881994459833795,0.7970918704560476,0.14492753623188406,0.9374185136897001,0.8133484162895928,0.8709872804360993,0.0
123,0,0.55,0.63761686507698,0.8242229592251002,0.758151333726846,0.6699539091871549,0.9022957821676455,0.7664233576642335,0.24413145539906103,0.9459459459459459,0.830367734282325,0.8843967150979154,0.0
123,1,0.45,0.6131357845451552,0.8500123317778088,0.6266722402483992,0.7091544032132273,0.9051680883090818,0.8175725986597171,0.11666666666666667,0.9493293591654247,0.8042929292929293,0.8708133971291866,0.0
123,2,0.5,0.706184018020712,0.8587698960761198,0.841629574376867,0.7243267826336806,0.9104320337197049,0.8198847262247838,0.38823529411764707,0.9155672823218998,0.8675,0.8908857509627728,0.0
123,3,0.35000000000000003,0.6198835275566121,0.8043768538599356,0.7833618048921038,0.629130492555424,0.8993525603296056,0.7398255813953488,0.2204724409448819,0.8900112233445566,0.9157043879907621,0.9026750142287991,0.0
123,4,0.96,0.5892789582544374,0.8222871464673625,0.6088300343834215,0.6556496110960048,0.874859075535513,0.7992277992277992,0.09375,0.9147869674185464,0.8257918552036199,0.8680142687277052,0.0
