config,family,n,acc,mean_p_bad,frac_true_bad,frac_pred_bad
C_causal,A,4,0.75,0.7309492826461792,0.5,0.75
C_causal,B,4,1.0,0.918492317199707,1.0,1.0
C_causal,C,156,0.3141025641025641,0.6555135846138,0.0,0.6858974358974359
C_causal,D,60,0.5666666666666667,0.5095835328102112,0.18333333333333332,0.5166666666666667
C_causal,E,12,0.4166666666666667,0.429306298494339,1.0,0.4166666666666667
C_causal,F,9,0.7777777777777778,0.6939114928245544,1.0,0.7777777777777778
C_causal,G,3,1.0,0.029784439131617546,1.0,1.0
E_causal,A,4,0.5,0.5705893039703369,0.5,0.5
E_causal,B,4,1.0,0.7553982138633728,1.0,1.0
E_causal,C,156,0.32051282051282054,0.6484967470169067,0.0,0.6794871794871795
E_causal,D,60,0.5333333333333333,0.467441201210022,0.18333333333333332,0.55
E_causal,E,12,0.3333333333333333,0.24152477085590363,1.0,0.3333333333333333
E_causal,F,9,0.7777777777777778,0.668434202671051,1.0,0.7777777777777778
E_causal,G,3,1.0,0.0241826381534338,1.0,1.0
